"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2022",68774.881689,
"BEL","GDP","TOT","USD_CAP","A","2022",65818.301179,"P"
"FIN","GDP","TOT","USD_CAP","A","2022",59808.219831,
"FRA","GDP","TOT","USD_CAP","A","2022",55698.406803,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",64099.171558,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",37212.227345,"P"
"IRL","GDP","TOT","USD_CAP","A","2022",128343.445998,
"ITA","GDP","TOT","USD_CAP","A","2022",52461.180226,
"LUX","GDP","TOT","USD_CAP","A","2022",143394.130003,"P"
"NLD","GDP","TOT","USD_CAP","A","2022",70966.057612,"P"
"PRT","GDP","TOT","USD_CAP","A","2022",42341.460754,"P"
"SVK","GDP","TOT","USD_CAP","A","2022",37358.964041,
"ESP","GDP","TOT","USD_CAP","A","2022",46747.557086,"P"
"EST","GDP","TOT","USD_CAP","A","2022",47721.323033,
"SVN","GDP","TOT","USD_CAP","A","2022",50713.217901,
"LVA","GDP","TOT","USD_CAP","A","2022",40685.382515,
"LTU","GDP","TOT","USD_CAP","A","2022",49234.961677,
"CYP","GDP","TOT","USD_CAP","A","2022",50443.343082,"P"
"MLT","GDP","TOT","USD_CAP","A","2022",56112.87559,
